,population,state,year
3654,8430.621,NJ,2000
3655,8492.671,NJ,2001
3656,8552.643,NJ,2002
3657,8601.402,NJ,2003
3658,8634.561,NJ,2004
3659,8651.974,NJ,2005
3660,8661.679,NJ,2006
3661,8677.885,NJ,2007
3662,8711.09,NJ,2008
3663,8755.602,NJ,2009
3664,8799.451,NJ,2010
3665,8828.552,NJ,2011
3666,8845.671,NJ,2012
3667,8857.821,NJ,2013
3668,8867.277,NJ,2014
3669,8870.312,NJ,2015
3670,8873.584,NJ,2016
3671,8888.147,NJ,2017
3672,8891.73,NJ,2018
3673,8891.258,NJ,2019
3674,9270.476,NJ,2020
3675,9266.509,NJ,2021
3676,9298.402,NJ,2022
3677,9395.315,NJ,2023
3678,9506.354,NJ,2024
3679,9548.215,NJ,2025
3680,196.0,NM,1900
3681,206.0,NM,1901
3682,218.0,NM,1902
3683,229.0,NM,1903
3684,242.0,NM,1904
3685,255.0,NM,1905
3686,269.0,NM,1906
3687,283.0,NM,1907
3688,298.0,NM,1908
3689,314.0,NM,1909
3690,329.0,NM,1910
3691,334.0,NM,1911
3692,338.0,NM,1912
3693,344.0,NM,1913
3694,348.0,NM,1914
3695,351.0,NM,1915
3696,354.0,NM,1916
3697,361.0,NM,1917
3698,382.0,NM,1918
3699,362.0,NM,1919
3700,363.0,NM,1920
3701,370.0,NM,1921
3702,375.0,NM,1922
3703,382.0,NM,1923
3704,390.0,NM,1924
3705,396.0,NM,1925
3706,403.0,NM,1926
3707,410.0,NM,1927
3708,416.0,NM,1928
3709,420.0,NM,1929
3710,427.0,NM,1930
3711,436.0,NM,1931
3712,441.0,NM,1932
3713,449.0,NM,1933
3714,461.0,NM,1934
3715,475.0,NM,1935
3716,489.0,NM,1936
3717,503.0,NM,1937
3718,513.0,NM,1938
3719,523.0,NM,1939
3720,531.0,NM,1940
3721,506.0,NM,1941
3722,502.0,NM,1942
3723,534.0,NM,1943
3724,527.0,NM,1944
3725,537.0,NM,1945
3726,561.0,NM,1946
3727,582.0,NM,1947
3728,604.0,NM,1948
3729,644.0,NM,1949
3730,689.0,NM,1950
3731,717.0,NM,1951
3732,735.0,NM,1952
3733,756.0,NM,1953
3734,763.0,NM,1954
3735,785.0,NM,1955
3736,806.0,NM,1956
3737,847.0,NM,1957
3738,886.0,NM,1958
3739,919.0,NM,1959
3740,954.0,NM,1960
3741,965.0,NM,1961
3742,979.0,NM,1962
3743,989.0,NM,1963
3744,1006.0,NM,1964
3745,1012.0,NM,1965
3746,1007.0,NM,1966
3747,1000.0,NM,1967
3748,994.0,NM,1968
3749,1011.0,NM,1969
3750,1017.055,NM,1970
3751,1053.737,NM,1971
3752,1078.697,NM,1972
3753,1105.529,NM,1973
3754,1131.309,NM,1974
3755,1159.944,NM,1975
3756,1189.295,NM,1976
3757,1215.72,NM,1977
3758,1238.034,NM,1978
3759,1284.722,NM,1979
3760,1309.4,NM,1980
3761,1332.748,NM,1981
3762,1363.823,NM,1982
3763,1394.361,NM,1983
3764,1416.717,NM,1984
3765,1438.361,NM,1985
3766,1462.729,NM,1986
3767,1478.52,NM,1987
3768,1490.337,NM,1988
3769,1503.901,NM,1989
3770,1519.933,NM,1990
3771,1547.115,NM,1991
3772,1580.75,NM,1992
3773,1614.937,NM,1993
3774,1653.329,NM,1994
3775,1682.417,NM,1995
3776,1706.151,NM,1996
3777,1722.939,NM,1997
3778,1733.535,NM,1998
3779,1739.844,NM,1999
3780,1821.204,NM,2000
3781,1831.69,NM,2001
3782,1855.309,NM,2002
3783,1877.574,NM,2003
3784,1903.808,NM,2004
3785,1932.274,NM,2005
3786,1962.137,NM,2006
3787,1990.07,NM,2007
3788,2010.662,NM,2008
3789,2036.802,NM,2009
3790,2064.614,NM,2010
3791,2080.707,NM,2011
3792,2087.715,NM,2012
3793,2092.833,NM,2013
3794,2090.236,NM,2014
3795,2090.071,NM,2015
3796,2092.555,NM,2016
3797,2092.844,NM,2017
3798,2093.754,NM,2018
3799,2099.634,NM,2019
3800,2118.446,NM,2020
3801,2117.3,NM,2021
3802,2112.859,NM,2022
3803,2119.349,NM,2023
3804,2126.774,NM,2024
3805,2125.498,NM,2025
3806,7283.0,NY,1900
3807,7449.0,NY,1901
3808,7612.0,NY,1902
3809,7771.0,NY,1903
3810,7927.0,NY,1904
3811,8084.0,NY,1905
3812,8289.0,NY,1906
3813,8499.0,NY,1907
3814,8714.0,NY,1908
3815,8935.0,NY,1909
3816,9137.0,NY,1910
3817,9249.0,NY,1911
3818,9361.0,NY,1912
3819,9473.0,NY,1913
3820,9585.0,NY,1914
3821,9700.0,NY,1915
3822,9848.0,NY,1916
3823,9993.0,NY,1917
3824,9936.0,NY,1918
3825,10252.0,NY,1919
3826,10282.0,NY,1920
3827,10416.0,NY,1921
3828,10589.0,NY,1922
3829,10752.0,NY,1923
3830,10953.0,NY,1924
3831,11186.0,NY,1925
3832,11257.0,NY,1926
3833,11174.0,NY,1927
3834,11599.0,NY,1928
3835,12171.0,NY,1929
3836,12647.0,NY,1930
3837,12848.0,NY,1931
3838,13001.0,NY,1932
3839,13126.0,NY,1933
3840,13253.0,NY,1934
3841,13375.0,NY,1935
3842,13481.0,NY,1936
3843,13511.0,NY,1937
3844,13512.0,NY,1938
3845,13523.0,NY,1939
3846,13456.0,NY,1940
3847,13267.0,NY,1941
3848,13002.0,NY,1942
3849,12807.0,NY,1943
3850,12628.0,NY,1944
3851,12495.0,NY,1945
3852,13398.0,NY,1946
3853,13982.0,NY,1947
3854,14497.0,NY,1948
3855,14892.0,NY,1949
3856,14865.0,NY,1950
3857,14890.0,NY,1951
3858,15192.0,NY,1952
3859,15527.0,NY,1953
3860,15814.0,NY,1954
3861,15966.0,NY,1955
3862,16112.0,NY,1956
3863,16374.0,NY,1957
3864,16601.0,NY,1958
3865,16685.0,NY,1959
3866,16838.0,NY,1960
3867,17061.0,NY,1961
3868,17301.0,NY,1962
3869,17461.0,NY,1963
3870,17589.0,NY,1964
3871,17734.0,NY,1965
3872,17843.0,NY,1966
3873,17935.0,NY,1967
3874,18051.0,NY,1968
3875,18105.0,NY,1969
3876,18241.391,NY,1970
3877,18357.982,NY,1971
3878,18339.4,NY,1972
3879,18177.063,NY,1973
3880,18049.775,NY,1974
3881,18003.485,NY,1975
3882,17940.541,NY,1976
3883,17812.602,NY,1977
3884,17680.589,NY,1978
3885,17583.838,NY,1979
3886,17566.754,NY,1980
3887,17567.734,NY,1981
3888,17589.738,NY,1982
3889,17686.905,NY,1983
3890,17745.684,NY,1984
3891,17791.672,NY,1985
3892,17833.419,NY,1986
3893,17868.848,NY,1987
3894,17941.309,NY,1988
3895,17983.086,NY,1989
3896,18002.855,NY,1990
3897,18029.532,NY,1991
3898,18082.032,NY,1992
3899,18140.894,NY,1993
3900,18156.652,NY,1994
3901,18150.928,NY,1995
3902,18143.805,NY,1996
3903,18143.184,NY,1997
3904,18159.175,NY,1998
3905,18196.601,NY,1999
3906,19001.78,NY,2000
3907,19082.838,NY,2001
3908,19137.8,NY,2002
3909,19175.939,NY,2003
3910,19171.567,NY,2004
3911,19132.61,NY,2005
3912,19104.631,NY,2006
3913,19132.335,NY,2007
3914,19212.436,NY,2008
3915,19307.066,NY,2009
3916,19399.956,NY,2010
3917,19499.921,NY,2011
3918,19574.362,NY,2012
3919,19626.488,NY,2013
3920,19653.431,NY,2014
3921,19657.321,NY,2015
3922,19636.391,NY,2016
3923,19593.849,NY,2017
3924,19544.098,NY,2018
3925,19463.131,NY,2019
3926,20122.262,NY,2020
3927,19835.345,NY,2021
3928,19713.025,NY,2022
3929,19786.543,NY,2023
3930,20001.419,NY,2024
3931,20002.427,NY,2025
3932,1897.0,NC,1900
3933,1926.0,NC,1901
3934,1956.0,NC,1902
3935,1986.0,NC,1903
3936,2017.0,NC,1904
3937,2051.0,NC,1905
3938,2077.0,NC,1906
3939,2105.0,NC,1907
3940,2142.0,NC,1908
3941,2174.0,NC,1909
3942,2221.0,NC,1910
3943,2276.0,NC,1911
3944,2313.0,NC,1912
3945,2362.0,NC,1913
3946,2421.0,NC,1914
3947,2473.0,NC,1915
3948,2513.0,NC,1916
3949,2546.0,NC,1917
3950,2522.0,NC,1918
3951,2535.0,NC,1919
3952,2588.0,NC,1920
3953,2651.0,NC,1921
3954,2700.0,NC,1922
3955,2761.0,NC,1923
3956,2830.0,NC,1924
3957,2895.0,NC,1925
3958,2959.0,NC,1926
3959,3027.0,NC,1927
3960,3082.0,NC,1928
3961,3133.0,NC,1929
3962,3167.0,NC,1930
3963,3184.0,NC,1931
3964,3227.0,NC,1932
3965,3268.0,NC,1933
3966,3304.0,NC,1934
3967,3323.0,NC,1935
3968,3346.0,NC,1936
3969,3385.0,NC,1937
3970,3440.0,NC,1938
3971,3514.0,NC,1939
3972,3574.0,NC,1940
3973,3589.0,NC,1941
3974,3569.0,NC,1942
3975,3654.0,NC,1943
3976,3560.0,NC,1944
3977,3533.0,NC,1945
3978,3706.0,NC,1946
3979,3769.0,NC,1947
3980,3837.0,NC,1948
3981,3911.0,NC,1949
3982,4068.0,NC,1950
3983,4120.0,NC,1951
3984,4109.0,NC,1952
3985,4120.0,NC,1953
3986,4131.0,NC,1954
3987,4242.0,NC,1955
3988,4309.0,NC,1956
3989,4368.0,NC,1957
3990,4376.0,NC,1958
3991,4458.0,NC,1959
3992,4573.0,NC,1960
3993,4663.0,NC,1961
3994,4707.0,NC,1962
3995,4742.0,NC,1963
3996,4802.0,NC,1964
3997,4863.0,NC,1965
3998,4896.0,NC,1966
3999,4952.0,NC,1967
4000,5004.0,NC,1968
4001,5031.0,NC,1969
4002,5084.411,NC,1970
4003,5203.531,NC,1971
4004,5301.15,NC,1972
4005,5389.852,NC,1973
4006,5470.911,NC,1974
4007,5547.188,NC,1975
4008,5607.964,NC,1976
4009,5685.607,NC,1977
4010,5759.492,NC,1978
4011,5823.491,NC,1979
4012,5898.98,NC,1980
4013,5956.653,NC,1981
4014,6019.101,NC,1982
4015,6077.056,NC,1983
4016,6164.006,NC,1984
4017,6253.954,NC,1985
4018,6321.578,NC,1986
4019,6403.7,NC,1987
4020,6480.594,NC,1988
4021,6565.459,NC,1989
4022,6656.987,NC,1990
4023,6748.135,NC,1991
4024,6831.85,NC,1992
4025,6947.412,NC,1993
4026,7060.959,NC,1994
4027,7185.403,NC,1995
4028,7307.658,NC,1996
4029,7428.672,NC,1997
4030,7545.828,NC,1998
4031,7650.789,NC,1999
4032,8081.614,NC,2000
4033,8210.122,NC,2001
4034,8326.201,NC,2002
4035,8422.501,NC,2003
4036,8553.152,NC,2004
4037,8705.407,NC,2005
4038,8917.27,NC,2006
4039,9118.037,NC,2007
4040,9309.449,NC,2008
4041,9449.566,NC,2009
4042,9574.586,NC,2010
4043,9658.913,NC,2011
4044,9751.81,NC,2012
4045,9846.717,NC,2013
4046,9937.295,NC,2014
4047,10037.218,NC,2015
4048,10161.802,NC,2016
4049,10275.758,NC,2017
4050,10391.358,NC,2018
4051,10501.384,NC,2019
4052,10450.215,NC,2020
4053,10565.503,NC,2021
4054,10705.768,NC,2022
4055,10871.849,NC,2023
4056,11052.061,NC,2024
4057,11197.968,NC,2025
4058,321.0,ND,1900
4059,346.0,ND,1901
4060,371.0,ND,1902
4061,396.0,ND,1903
4062,421.0,ND,1904
4063,446.0,ND,1905
4064,474.0,ND,1906
4065,501.0,ND,1907
4066,528.0,ND,1908
4067,555.0,ND,1909
4068,580.0,ND,1910
4069,584.0,ND,1911
4070,603.0,ND,1912
4071,609.0,ND,1913
4072,620.0,ND,1914
4073,641.0,ND,1915
4074,652.0,ND,1916
4075,661.0,ND,1917
4076,636.0,ND,1918
4077,648.0,ND,1919
4078,646.0,ND,1920
4079,646.0,ND,1921
4080,647.0,ND,1922
4081,648.0,ND,1923
4082,642.0,ND,1924
4083,643.0,ND,1925
4084,651.0,ND,1926
4085,657.0,ND,1927
4086,665.0,ND,1928
4087,674.0,ND,1929
4088,682.0,ND,1930
4089,680.0,ND,1931
4090,676.0,ND,1932
4091,674.0,ND,1933
4092,672.0,ND,1934
4093,670.0,ND,1935
4094,664.0,ND,1936
4095,655.0,ND,1937
4096,647.0,ND,1938
4097,644.0,ND,1939
4098,640.0,ND,1940
4099,615.0,ND,1941
4100,583.0,ND,1942
4101,546.0,ND,1943
4102,534.0,ND,1944
4103,546.0,ND,1945
4104,570.0,ND,1946
4105,578.0,ND,1947
4106,580.0,ND,1948
4107,597.0,ND,1949
4108,619.0,ND,1950
4109,604.0,ND,1951
4110,608.0,ND,1952
4111,609.0,ND,1953
4112,611.0,ND,1954
4113,615.0,ND,1955
4114,613.0,ND,1956
4115,612.0,ND,1957
4116,606.0,ND,1958
4117,618.0,ND,1959
4118,634.0,ND,1960
4119,641.0,ND,1961
4120,637.0,ND,1962
4121,644.0,ND,1963
4122,649.0,ND,1964
4123,649.0,ND,1965
4124,647.0,ND,1966
4125,626.0,ND,1967
4126,621.0,ND,1968
4127,621.0,ND,1969
4128,617.792,ND,1970
4129,626.76,ND,1971
4130,631.119,ND,1972
4131,632.675,ND,1973
4132,634.559,ND,1974
4133,638.886,ND,1975
4134,645.797,ND,1976
4135,649.769,ND,1977
4136,651.301,ND,1978
4137,652.896,ND,1979
4138,654.38,ND,1980
4139,659.505,ND,1981
4140,668.972,ND,1982
4141,676.688,ND,1983
4142,680.497,ND,1984
4143,676.98,ND,1985
4144,669.512,ND,1986
4145,661.136,ND,1987
4146,655.331,ND,1988
4147,646.351,ND,1989
4148,637.364,ND,1990
4149,634.199,ND,1991
4150,635.427,ND,1992
4151,637.229,ND,1993
4152,639.762,ND,1994
4153,641.548,ND,1995
4154,642.858,ND,1996
4155,640.945,ND,1997
4156,637.808,ND,1998
4157,633.666,ND,1999
4158,642.023,ND,2000
4159,639.062,ND,2001
4160,638.168,ND,2002
4161,638.817,ND,2003
4162,644.705,ND,2004
4163,646.089,ND,2005
4164,649.422,ND,2006
4165,652.822,ND,2007
4166,657.569,ND,2008
4167,664.968,ND,2009
4168,674.752,ND,2010
4169,685.526,ND,2011
4170,702.227,ND,2012
4171,723.149,ND,2013
4172,738.736,ND,2014
4173,755.537,ND,2015
4174,756.114,ND,2016
4175,756.755,ND,2017
4176,760.062,ND,2018
4177,763.724,ND,2019
4178,779.612,ND,2020
4179,777.977,ND,2021
4180,780.191,ND,2022
4181,787.071,ND,2023
4182,793.387,ND,2024
4183,799.358,ND,2025
4184,4161.0,OH,1900
4185,4216.0,OH,1901
4186,4322.0,OH,1902
4187,4386.0,OH,1903
4188,4458.0,OH,1904
4189,4530.0,OH,1905
4190,4587.0,OH,1906
4191,4630.0,OH,1907
4192,4677.0,OH,1908
4193,4701.0,OH,1909
4194,4786.0,OH,1910
4195,4821.0,OH,1911
4196,4893.0,OH,1912
4197,4997.0,OH,1913
4198,5109.0,OH,1914
4199,5251.0,OH,1915
4200,5366.0,OH,1916
4201,5510.0,OH,1917
4202,5547.0,OH,1918
4203,5683.0,OH,1919
4204,5799.0,OH,1920
4205,5921.0,OH,1921
4206,6054.0,OH,1922
4207,6183.0,OH,1923
4208,6319.0,OH,1924
4209,6434.0,OH,1925
4210,6504.0,OH,1926
4211,6577.0,OH,1927
4212,6608.0,OH,1928
4213,6626.0,OH,1929
4214,6662.0,OH,1930
4215,6694.0,OH,1931
4216,6717.0,OH,1932
4217,6740.0,OH,1933
4218,6751.0,OH,1934
4219,6787.0,OH,1935
4220,6801.0,OH,1936
4221,6809.0,OH,1937
4222,6837.0,OH,1938
4223,6886.0,OH,1939
4224,6929.0,OH,1940
4225,6958.0,OH,1941
4226,6969.0,OH,1942
4227,6868.0,OH,1943
4228,6918.0,OH,1944
4229,6916.0,OH,1945
4230,7512.0,OH,1946
4231,7705.0,OH,1947
4232,7876.0,OH,1948
4233,7973.0,OH,1949
4234,7980.0,OH,1950
4235,8061.0,OH,1951
4236,8275.0,OH,1952
4237,8591.0,OH,1953
4238,8873.0,OH,1954
4239,9017.0,OH,1955
4240,9207.0,OH,1956
4241,9410.0,OH,1957
4242,9599.0,OH,1958
4243,9671.0,OH,1959
4244,9734.0,OH,1960
4245,9854.0,OH,1961
4246,9929.0,OH,1962
4247,9986.0,OH,1963
4248,10080.0,OH,1964
4249,10201.0,OH,1965
4250,10330.0,OH,1966
4251,10414.0,OH,1967
4252,10516.0,OH,1968
4253,10563.0,OH,1969
4254,10657.423,OH,1970
4255,10734.818,OH,1971
4256,10746.993,OH,1972
4257,10767.314,OH,1973
4258,10765.759,OH,1974
4259,10770.425,OH,1975
4260,10752.662,OH,1976
4261,10771.394,OH,1977
4262,10795.581,OH,1978
4263,10798.298,OH,1979
4264,10800.65,OH,1980
4265,10788.33,OH,1981
4266,10757.087,OH,1982
4267,10737.632,OH,1983
4268,10737.746,OH,1984
4269,10734.926,OH,1985
4270,10730.268,OH,1986
4271,10760.09,OH,1987
4272,10798.552,OH,1988
4273,10829.217,OH,1989
4274,10861.837,OH,1990
4275,10933.683,OH,1991
4276,11007.609,OH,1992
4277,11070.385,OH,1993
4278,11111.451,OH,1994
4279,11155.493,OH,1995
4280,11187.032,OH,1996
4281,11212.498,OH,1997
4282,11237.752,OH,1998
4283,11256.654,OH,1999
4284,11363.543,OH,2000
4285,11387.404,OH,2001
4286,11407.889,OH,2002
4287,11434.788,OH,2003
4288,11452.251,OH,2004
4289,11463.32,OH,2005
4290,11481.213,OH,2006
4291,11500.468,OH,2007
4292,11515.391,OH,2008
4293,11528.896,OH,2009
4294,11539.449,OH,2010
4295,11545.735,OH,2011
4296,11550.971,OH,2012
4297,11579.692,OH,2013
4298,11606.573,OH,2014
4299,11622.315,OH,2015
4300,11640.06,OH,2016
4301,11665.706,OH,2017
4302,11680.892,OH,2018
4303,11696.507,OH,2019
4304,11798.534,OH,2020
4305,11761.443,OH,2021
4306,11764.95,OH,2022
4307,11808.39,OH,2023
4308,11860.621,OH,2024
4309,11900.51,OH,2025
4310,800.0,OK,1900
4311,916.0,OK,1901
4312,1027.0,OK,1902
4313,1118.0,OK,1903
4314,1200.0,OK,1904
4315,1277.0,OK,1905
4316,1349.0,OK,1906
4317,1414.0,OK,1907
4318,1498.0,OK,1908
4319,1585.0,OK,1909
4320,1671.0,OK,1910
4321,1714.0,OK,1911
4322,1737.0,OK,1912
4323,1777.0,OK,1913
4324,1824.0,OK,1914
4325,1860.0,OK,1915
4326,1907.0,OK,1916
4327,1960.0,OK,1917
4328,1969.0,OK,1918
4329,2003.0,OK,1919
4330,2055.0,OK,1920
4331,2108.0,OK,1921
4332,2140.0,OK,1922
4333,2159.0,OK,1923
4334,2179.0,OK,1924
4335,2216.0,OK,1925
4336,2256.0,OK,1926
4337,2306.0,OK,1927
4338,2344.0,OK,1928
4339,2372.0,OK,1929
4340,2401.0,OK,1930
4341,2403.0,OK,1931
4342,2394.0,OK,1932
4343,2392.0,OK,1933
4344,2391.0,OK,1934
4345,2386.0,OK,1935
4346,2365.0,OK,1936
4347,2334.0,OK,1937
4348,2324.0,OK,1938
4349,2333.0,OK,1939
4350,2325.0,OK,1940
4351,2262.0,OK,1941
4352,2215.0,OK,1942
4353,2205.0,OK,1943
4354,2043.0,OK,1944
4355,2028.0,OK,1945
4356,2128.0,OK,1946
4357,2133.0,OK,1947
4358,2089.0,OK,1948
4359,2105.0,OK,1949
4360,2229.0,OK,1950
4361,2210.0,OK,1951
4362,2219.0,OK,1952
4363,2182.0,OK,1953
4364,2209.0,OK,1954
4365,2250.0,OK,1955
4366,2273.0,OK,1956
4367,2282.0,OK,1957
4368,2267.0,OK,1958
4369,2289.0,OK,1959
4370,2336.0,OK,1960
4371,2380.0,OK,1961
4372,2427.0,OK,1962
4373,2439.0,OK,1963
4374,2446.0,OK,1964
4375,2440.0,OK,1965
4376,2454.0,OK,1966
4377,2489.0,OK,1967
4378,2503.0,OK,1968
4379,2535.0,OK,1969
4380,2559.463,OK,1970
4381,2618.601,OK,1971
4382,2658.646,OK,1972
4383,2695.931,OK,1973
4384,2734.768,OK,1974
4385,2774.683,OK,1975
4386,2826.815,OK,1976
4387,2870.014,OK,1977
4388,2917.336,OK,1978
4389,2975.31,OK,1979
4390,3040.758,OK,1980
4391,3096.164,OK,1981
4392,3206.123,OK,1982
4393,3290.402,OK,1983
4394,3285.533,OK,1984
4395,3271.332,OK,1985
4396,3252.735,OK,1986
4397,3210.122,OK,1987
4398,3167.057,OK,1988
4399,3150.307,OK,1989
4400,3147.105,OK,1990
4401,3166.471,OK,1991
4402,3204.174,OK,1992
4403,3228.829,OK,1993
4404,3246.119,OK,1994
4405,3265.547,OK,1995
4406,3289.634,OK,1996
4407,3314.259,OK,1997
4408,3339.478,OK,1998
4409,3358.044,OK,1999
4410,3454.365,OK,2000
4411,3467.1,OK,2001
4412,3489.08,OK,2002
4413,3504.892,OK,2003
4414,3525.233,OK,2004
4415,3548.597,OK,2005
4416,3594.09,OK,2006
4417,3634.349,OK,2007
4418,3668.976,OK,2008
4419,3717.572,OK,2009
4420,3760.014,OK,2010
4421,3788.824,OK,2011
4422,3819.32,OK,2012
4423,3853.891,OK,2013
4424,3879.187,OK,2014
4425,3910.518,OK,2015
4426,3928.143,OK,2016
4427,3933.602,OK,2017
4428,3943.488,OK,2018
4429,3960.676,OK,2019
4430,3965.243,OK,2020
4431,3992.76,OK,2021
4432,4025.327,OK,2022
4433,4062.716,OK,2023
4434,4097.758,OK,2024
4435,4123.288,OK,2025
4436,415.0,OR,1900
4437,434.0,OR,1901
4438,454.0,OR,1902
4439,479.0,OR,1903
4440,504.0,OR,1904
4441,530.0,OR,1905
4442,555.0,OR,1906
4443,580.0,OR,1907
4444,610.0,OR,1908
4445,643.0,OR,1909
4446,677.0,OR,1910
4447,692.0,OR,1911
4448,706.0,OR,1912
4449,722.0,OR,1913
4450,736.0,OR,1914
4451,745.0,OR,1915
4452,756.0,OR,1916
4453,763.0,OR,1917
4454,763.0,OR,1918
4455,774.0,OR,1919
4456,788.0,OR,1920
4457,798.0,OR,1921
4458,814.0,OR,1922
4459,833.0,OR,1923
4460,856.0,OR,1924
4461,883.0,OR,1925
4462,905.0,OR,1926
4463,925.0,OR,1927
4464,936.0,OR,1928
4465,947.0,OR,1929
4466,956.0,OR,1930
4467,966.0,OR,1931
4468,972.0,OR,1932
4469,978.0,OR,1933
4470,985.0,OR,1934
4471,1001.0,OR,1935
4472,1025.0,OR,1936
4473,1048.0,OR,1937
4474,1067.0,OR,1938
4475,1081.0,OR,1939
4476,1086.0,OR,1940
4477,1071.0,OR,1941
4478,1107.0,OR,1942
4479,1221.0,OR,1943
4480,1233.0,OR,1944
4481,1250.0,OR,1945
4482,1338.0,OR,1946
4483,1361.0,OR,1947
4484,1405.0,OR,1948
4485,1431.0,OR,1949
4486,1532.0,OR,1950
4487,1556.0,OR,1951
4488,1582.0,OR,1952
4489,1601.0,OR,1953
4490,1626.0,OR,1954
4491,1659.0,OR,1955
4492,1698.0,OR,1956
4493,1712.0,OR,1957
4494,1718.0,OR,1958
4495,1746.0,OR,1959
4496,1772.0,OR,1960
4497,1787.0,OR,1961
4498,1818.0,OR,1962
4499,1853.0,OR,1963
4500,1888.0,OR,1964
4501,1937.0,OR,1965
4502,1969.0,OR,1966
4503,1979.0,OR,1967
4504,2004.0,OR,1968
4505,2062.0,OR,1969
4506,2091.533,OR,1970
4507,2151.022,OR,1971
4508,2197.297,OR,1972
4509,2241.932,OR,1973
4510,2285.013,OR,1974
4511,2329.661,OR,1975
4512,2378.262,OR,1976
4513,2446.673,OR,1977
4514,2518.298,OR,1978
4515,2588.012,OR,1979
4516,2641.218,OR,1980
4517,2667.982,OR,1981
4518,2664.922,OR,1982
4519,2653.066,OR,1983
4520,2666.588,OR,1984
4521,2672.652,OR,1985
4522,2683.528,OR,1986
4523,2700.991,OR,1987
4524,2741.297,OR,1988
4525,2790.575,OR,1989
4526,2858.547,OR,1990
4527,2918.745,OR,1991
4528,2973.934,OR,1992
4529,3034.49,OR,1993
4530,3087.142,OR,1994
4531,3141.421,OR,1995
4532,3195.087,OR,1996
4533,3243.254,OR,1997
4534,3282.055,OR,1998
4535,3316.154,OR,1999
4536,3429.708,OR,2000
4537,3467.937,OR,2001
4538,3513.424,OR,2002
4539,3547.376,OR,2003
4540,3569.463,OR,2004
4541,3613.202,OR,2005
4542,3670.883,OR,2006
4543,3722.417,OR,2007
4544,3768.748,OR,2008
4545,3808.6,OR,2009
4546,3837.614,OR,2010
4547,3872.672,OR,2011
4548,3900.102,OR,2012
4549,3924.11,OR,2013
4550,3965.447,OR,2014
4551,4018.542,OR,2015
4552,4093.271,OR,2016
4553,4147.294,OR,2017
4554,4183.538,OR,2018
4555,4216.116,OR,2019
4556,4243.544,OR,2020
4557,4254.691,OR,2021
4558,4245.964,OR,2022
4559,4250.392,OR,2023
4560,4265.324,OR,2024
4561,4273.586,OR,2025
4562,6313.0,PA,1900
4563,6439.0,PA,1901
4564,6567.0,PA,1902
4565,6699.0,PA,1903
4566,6833.0,PA,1904
4567,6970.0,PA,1905
4568,7110.0,PA,1906
4569,7253.0,PA,1907
4570,7398.0,PA,1908
4571,7546.0,PA,1909
4572,7706.0,PA,1910
4573,7850.0,PA,1911
4574,7986.0,PA,1912
4575,8139.0,PA,1913
4576,8276.0,PA,1914
4577,8362.0,PA,1915
4578,8463.0,PA,1916
4579,8578.0,PA,1917
4580,8524.0,PA,1918
4581,8643.0,PA,1919
4582,8740.0,PA,1920
4583,8900.0,PA,1921
4584,8982.0,PA,1922
4585,9148.0,PA,1923
4586,9383.0,PA,1924
4587,9478.0,PA,1925
4588,9594.0,PA,1926
4589,9745.0,PA,1927
4590,9802.0,PA,1928
4591,9723.0,PA,1929
4592,9649.0,PA,1930
4593,9707.0,PA,1931
4594,9764.0,PA,1932
4595,9784.0,PA,1933
4596,9795.0,PA,1934
4597,9774.0,PA,1935
4598,9767.0,PA,1936
4599,9790.0,PA,1937
4600,9952.0,PA,1938
4601,9901.0,PA,1939
4602,9896.0,PA,1940
4603,9911.0,PA,1941
4604,9704.0,PA,1942
4605,9444.0,PA,1943
4606,9214.0,PA,1944
4607,9143.0,PA,1945
4608,9866.0,PA,1946
4609,10196.0,PA,1947
4610,10287.0,PA,1948
4611,10390.0,PA,1949
4612,10507.0,PA,1950
4613,10461.0,PA,1951
4614,10503.0,PA,1952
4615,10662.0,PA,1953
4616,10817.0,PA,1954
4617,10939.0,PA,1955
4618,10972.0,PA,1956
4619,10954.0,PA,1957
4620,11058.0,PA,1958
4621,11234.0,PA,1959
4622,11329.0,PA,1960
4623,11392.0,PA,1961
4624,11355.0,PA,1962
4625,11424.0,PA,1963
4626,11519.0,PA,1964
4627,11620.0,PA,1965
4628,11664.0,PA,1966
4629,11681.0,PA,1967
4630,11741.0,PA,1968
4631,11741.0,PA,1969
4632,11800.766,PA,1970
4633,11886.4,PA,1971
4634,11908.233,PA,1972
4635,11890.527,PA,1973
4636,11870.884,PA,1974
4637,11906.095,PA,1975
4638,11897.378,PA,1976
4639,11893.591,PA,1977
4640,11879.396,PA,1978
4641,11887.975,PA,1979
4642,11868.305,PA,1980
4643,11858.567,PA,1981
4644,11845.146,PA,1982
4645,11837.723,PA,1983
4646,11815.172,PA,1984
4647,11770.862,PA,1985
4648,11782.752,PA,1986
4649,11810.866,PA,1987
4650,11845.752,PA,1988
4651,11865.996,PA,1989
4652,11895.604,PA,1990
4653,11943.16,PA,1991
4654,11980.819,PA,1992
4655,12022.128,PA,1993
4656,12042.545,PA,1994
4657,12044.78,PA,1995
4658,12038.008,PA,1996
4659,12015.888,PA,1997
4660,12002.329,PA,1998
4661,11994.016,PA,1999
4662,12284.173,PA,2000
4663,12298.97,PA,2001
4664,12331.031,PA,2002
4665,12374.658,PA,2003
4666,12410.722,PA,2004
